date,ICICI_LargeMidcap,Nifty50_BeES,fund_ret,bench_ret
2006-06-20,9.07,290.497,-0.015200868621064068,-0.01899057984840624
2006-06-21,9.26,296.7886,0.02094818081587646,0.02165805498851947
2006-06-22,9.48,304.0115,0.023758099352051865,0.02433685121328799
2006-06-23,9.52,308.9646,0.00421940928270037,0.016292475778054483
2006-06-26,9.15,298.8128,-0.03886554621848737,-0.03285748593851867
2006-06-27,9.2,302.7821,0.005464480874316724,0.013283567504471128
2006-06-28,9.19,302.6445,-0.0010869565217390686,-0.00045445222818663034
2006-06-29,9.24,304.6288,0.005440696409140466,0.0065565374556617595
2006-06-30,9.62,317.9266,0.04112554112554112,0.04365247146691309
2006-07-03,9.67,320.2203,0.005197505197505281,0.007214558328872078
2006-07-04,9.62,318.9682,-0.005170630816959787,-0.003910120626331226
2006-07-05,9.8,324.8864,0.01871101871101888,0.01855420070088476
2006-07-06,9.7,320.9369,-0.010204081632653184,-0.012156556876495861
2006-07-07,9.52,312.8193,-0.01855670103092777,-0.025293445533997483
2006-07-10,9.68,319.7167,0.01680672268907557,0.02204915105941363
2006-07-11,9.65,317.0964,-0.0030991735537189147,-0.008195693249680058
2006-07-12,9.85,325.1667,0.02072538860103612,0.02545062006380383
2006-07-13,9.81,322.4698,-0.004060913705583702,-0.008293899713592956
2006-07-14,9.69,317.8715,-0.012232415902140747,-0.014259629894024184
2006-07-17,9.4,306.1337,-0.02992776057791524,-0.03692624220793639
2006-07-18,9.33,304.7218,-0.007446808510638281,-0.004612037158927662
2006-07-19,9.11,298.5564,-0.023579849946409492,-0.02023288127071965
2006-07-20,9.38,307.6941,0.029637760702524885,0.03060627740688182
2006-07-21,9.17,299.8015,-0.022388059701492602,-0.02565080058408664
2006-07-24,9.24,303.9295,0.007633587786259666,0.013769110561488329
2006-07-25,9.42,309.4607,0.01948051948051943,0.018198957323984466
2006-07-26,9.57,316.5138,0.015923566878981,0.022791585490500088
2006-07-27,9.7,321.183,0.013584117032392706,0.014751963421500092
2006-07-28,9.69,318.6712,-0.0010309278350515427,-0.007820463723173354
2006-07-31,9.73,319.9193,0.004127966976264386,0.003916576082181322
2006-08-01,9.72,320.4019,-0.0010277492291880241,0.001508505426212059
2006-08-02,9.83,323.8827,0.011316872427983515,0.010863855676261469
2006-08-03,9.86,324.6798,0.003051881993896277,0.0024610761859154007
2006-08-04,9.81,323.3313,-0.0050709939148071426,-0.004153322750599209
2006-08-07,9.77,320.7187,-0.004077471967380286,-0.00808025699955428
2006-08-08,9.96,327.0746,0.01944728761514858,0.019817678233292835
2006-08-09,10.09,331.3949,0.013052208835341306,0.013208913195949856
2006-08-10,10.13,332.0131,0.003964321110009994,0.0018654481405717682
2006-08-11,10.19,333.5192,0.005923000987166693,0.0045362667918826816
2006-08-14,10.3,337.5899,0.01079489695780178,0.012205294327882754
2006-08-16,10.41,341.9459,0.010679611650485477,0.012903229628611568
2006-08-17,10.4,341.7251,-0.0009606147934677622,-0.0006457161790798249
2006-08-18,10.42,342.0648,0.0019230769230769162,0.0009940738915579228
2006-08-21,10.48,342.9886,0.0057581573896352545,0.002700657887043656
2006-08-22,10.48,342.8425,0.0,-0.00042596167919295436
